SCHEMA;TABLE_NAME;COLUMN_NAME;CONSTRAINT_TYPE
DELTA;SEG_CONFIGURACAODIRECIONAMENTO;CODCONFIGURACAO;PK
DELTA;SEG_CONFIGURACAODIRECIONAMENTO;CODCONFIGURACAO;
DELTA;SEG_CONFIGURACAODIRECIONAMENTO;DSCCONFIGURACAO;
DELTA;GEN_AUDITORIAREGISTROA3;CODLOG;PK
DELTA;GEN_AUDITORIAREGISTROA3;CODLOG;
DELTA;GEN_AUDITORIAREGISTROA3;DSCTIPOLOG;
DELTA;GEN_AUDITORIAREGISTROA3;DSCCAMPO;
DELTA;GEN_AUDITORIAREGISTROA3;DATLOG;
DELTA;GEN_AUDITORIAREGISTROA3;CODUSUARIO;FK
DELTA;GEN_AUDITORIAREGISTROA3;CODUSUARIO;
DELTA;GEN_LOGPROCESSOCODIGO;CODPROCESSO;PK
DELTA;GEN_LOGPROCESSOCODIGO;CODPROCESSO;
DELTA;GEN_DEPARTAMENTO;CODDEPARTAMENTO;PK
DELTA;GEN_DEPARTAMENTO;CODDEPARTAMENTO;
DELTA;GEN_DEPARTAMENTO;CODEMPRESA;FK
DELTA;GEN_DEPARTAMENTO;CODEMPRESA;
DELTA;GEN_DEPARTAMENTO;IDTUTILIZAMATERIAL;
DELTA;SEG_CONFIGURACAOCREDUSUARIO;CODCONFIGUSUARIO;
DELTA;SEG_CONFIGURACAOCREDUSUARIO;CODCONFIGUSUARIO;FK
DELTA;SEG_CONFIGURACAOCREDUSUARIO;DATINCLUSAO;
DELTA;SEG_CONFIGURACAOCREDUSUARIO;CODCIDADE;
DELTA;SEG_CONFIGURACAOCREDUSUARIO;CODUF;
DELTA;GEN_LOGJOBSNET;CODLOGJOBSNET;PK
DELTA;GEN_LOGJOBSNET;CODLOGJOBSNET;
DELTA;GEN_LOGJOBSNET;DATEVENTO;
DELTA;GEN_LOGJOBSNET;DSCSCHEDULER;
DELTA;GEN_LOGJOBSNET;DSCRELATORIO;
DELTA;GEN_LOGJOBSNET;DSCEVENTO;
DELTA;SEG_AUDITORIAOSNEGATIVA;CODAUDITORIAOSNEGATIVA;PK
DELTA;SEG_AUDITORIAOSNEGATIVA;CODAUDITORIAOSNEGATIVA;
DELTA;SEG_AUDITORIAOSNEGATIVA;CODOSNEGATIVA;
DELTA;SEG_AUDITORIAOSNEGATIVA;CODUSUARIO;FK
DELTA;SEG_AUDITORIAOSNEGATIVA;CODUSUARIO;
DELTA;SEG_AUDITORIAOSNEGATIVA;DATOCORRENCIA;
DELTA;SEG_AUDITREGIAOPRIORIDADE;CODAUDITREGPRIORIDADE;PK
DELTA;SEG_AUDITREGIAOPRIORIDADE;CODAUDITREGPRIORIDADE;
DELTA;SEG_AUDITREGIAOPRIORIDADE;CODREGIAOPRIORIDADE;
DELTA;SEG_AUDITREGIAOPRIORIDADE;DSCCAMPO;
DELTA;SEG_AUDITREGIAOPRIORIDADE;CODUSUARIO;FK
DELTA;SEG_AUDITREGIAOPRIORIDADE;CODUSUARIO;
DELTA;SEG_AUDITREGIAOPRIORIDADE;DATINCLUSAO;
