SCHEMA;TABLE_NAME;COLUMN_NAME;TABLE_KEY
DELTA;SEG_ATENDIMENTO;CODANEXO;SIM
DELTA;SEG_ATENDIMENTO;CODATENDIMENTO;SIM
DELTA;SEG_ATENDIMENTO;CODATENDIMENTOGENESIS;NAO
DELTA;SEG_ATENDIMENTO;CODCEPSM;NAO
DELTA;SEG_ATENDIMENTO;CODCIDADE;SIM
DELTA;SEG_ATENDIMENTO;CODCIDADESERVICO;NAO
DELTA;SEG_ATENDIMENTO;CODCIDADESM;NAO
DELTA;SEG_ATENDIMENTO;CODCLIENTE;SIM
DELTA;SEG_ATENDIMENTO;CODCONTRATO;SIM
DELTA;SEG_ATENDIMENTO;CODEXTERNO;SIM
DELTA;SEG_ATENDIMENTO;CODFINALIZACAO;SIM
DELTA;SEG_ATENDIMENTO;CODGRUPOSEGURADORA;SIM
DELTA;SEG_ATENDIMENTO;CODITEM;SIM
DELTA;SEG_ATENDIMENTO;CODMOTIVOCANCELAMENTO;SIM
DELTA;SEG_ATENDIMENTO;CODOBJETOCAUSA;NAO
DELTA;SEG_ATENDIMENTO;CODPERIODOSERVICO;NAO
DELTA;SEG_ATENDIMENTO;CODSCRIPT;SIM
DELTA;SEG_ATENDIMENTO;CODSEGURADORA;SIM
DELTA;SEG_ATENDIMENTO;CODSITUACAO;SIM
DELTA;SEG_ATENDIMENTO;CODTIPOBLINDAGEM;SIM
DELTA;SEG_ATENDIMENTO;CODTIPOCHAMADAMIDIA;SIM
DELTA;SEG_ATENDIMENTO;CODTIPODANO;SIM
DELTA;SEG_ATENDIMENTO;CODTIPOFRANQUIA;SIM
DELTA;SEG_ATENDIMENTO;CODTIPOREFATURAMENTO;SIM
DELTA;SEG_ATENDIMENTO;CODTIPORISCO;SIM
DELTA;SEG_ATENDIMENTO;CODTIPOSCRIPT;SIM
DELTA;SEG_ATENDIMENTO;CODUFSM;NAO
DELTA;SEG_ATENDIMENTO;CODUSUARIO;SIM
