SCHEMA;TABLE_NAME;COLUMN_NAME;TABLE_KEY
DELTA;GEN_A3AREASETOR;CODA3AREASETOR;SIM
DELTA;GEN_A3AREASETOR;CODA3SETOR;SIM
DELTA;GEN_A3AREASETOR;CODSTATUS;SIM
DELTA;GEN_A3AREASETOR;DSCNOME;SIM
DELTA;GEN_A3AREASETOR;IDTPODEANEXARARQUIVOS;SIM
DELTA;GEN_A3CLASSIFICACAO;CODA3CLASSIFICACAO;SIM
DELTA;GEN_A3CLASSIFICACAO;CODSTATUS;SIM
DELTA;GEN_A3CLASSIFICACAO;DSCA3CLASSIFICACAO;SIM
DELTA;GEN_A3CLASSIFICACAO;IDTPOSSUISUBCLASSIFICACAO;SIM
DELTA;GEN_A3CLASSIFICACAO;IDTPOSSUIVALOR;SIM
DELTA;GEN_A3IMAGENS;CODA3IMAGENS;SIM
DELTA;GEN_A3IMAGENS;CODREGISTROA3;SIM
DELTA;GEN_A3IMAGENS;IDTTIPOPROCESSO;SIM
DELTA;GEN_A3IMAGENS;LOBIMAGEM;SIM
DELTA;GEN_A3IMAGENS;LOBTHUMBNAIL;SIM
DELTA;GEN_A3PLANOACAO;CODA3PLANOACAO;SIM
DELTA;GEN_A3PLANOACAO;CODREGISTROA3;SIM
DELTA;GEN_A3PLANOACAO;CODSTATUS;SIM
DELTA;GEN_A3PLANOACAO;CODUSUARIO;SIM
DELTA;GEN_A3PLANOACAO;DATPRAZO;SIM
DELTA;GEN_A3PLANOACAO;DSCA3PLANOACAO;SIM
DELTA;GEN_A3PLANOACAO;DSCOBSERVACAO;NAO
DELTA;GEN_A3PLANOACAOANEXOS;CODA3PLANOACAO;SIM
DELTA;GEN_A3PLANOACAOANEXOS;CODA3PLANOACAOANEXOS;SIM
DELTA;GEN_A3PLANOACAOANEXOS;DSCNOMEARQUIVO;SIM
DELTA;GEN_A3PLANOACAOANEXOS;LOBARQUIVO;SIM
DELTA;GEN_A3RESPONSAVEIS;CODA3RESPONSAVEL;SIM
DELTA;GEN_A3RESPONSAVEIS;CODREGISTROA3;SIM
DELTA;GEN_A3RESPONSAVEIS;CODUSUARIO;SIM
