SCHEMA;TABLE_NAME;COLUMN_NAME;CONSTRAINT_TYPE
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODGRUPO;
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODGRUPO;FK
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODGRUPO;PK
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODSCRIPT;FK
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODSCRIPT;
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODSCRIPT;PK
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODTIPOSCRIPT;
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODTIPOSCRIPT;FK
DELTA;GEN_PRODUTOGRUPOSCRIPT;CODTIPOSCRIPT;PK
DELTA;SEG_APOLICECONTRATO;CODCONTRATO;PK
DELTA;SEG_APOLICECONTRATO;CODCONTRATO;
DELTA;SEG_APOLICECONTRATO;CODCONTRATO;FK
DELTA;SEG_APOLICECONTRATO;CODITEM;FK
DELTA;SEG_APOLICECONTRATO;CODITEM;PK
DELTA;SEG_APOLICECONTRATO;CODITEM;
DELTA;SEG_APOLICECONTRATO;CODSEGURADORA;FK
DELTA;SEG_APOLICECONTRATO;CODSEGURADORA;FK
DELTA;SEG_APOLICECONTRATO;CODSEGURADORA;PK
DELTA;SEG_APOLICECONTRATO;CODSEGURADORA;
DELTA;SEG_APOLICECONTRATO;CODTIPORISCO;PK
DELTA;SEG_APOLICECONTRATO;CODTIPORISCO;
DELTA;SEG_APOLICECONTRATO;CODTIPORISCO;FK
DELTA;SEG_APOLICECONTRATO;DATFINALVIGENCIA;
DELTA;SEG_APOLICECONTRATO;DATINICIOVIGENCIA;
DELTA;SEG_APOLICECONTRATO;DATULTIMAALTERACAO;
DELTA;SEG_APOLICECONTRATO;IDTSITUACAO;
DELTA;SEG_APOLICECONTRATO;NUMAPOLICE;
DELTA;SEG_APOLICECONTRATO;NUMAPOLICE;PK
DELTA;SEG_APOLICECONTRATO;NUMAPOLICE;FK
DELTA;SEG_APOLICEITEM;CODANEXO;FK
DELTA;SEG_APOLICEITEM;CODCATEGORIA;
DELTA;SEG_APOLICEITEM;CODEXTERNO;
DELTA;SEG_APOLICEITEM;CODEXTERNO;FK
DELTA;SEG_APOLICEITEM;CODITEM;PK
DELTA;SEG_APOLICEITEM;CODITEM;
DELTA;SEG_APOLICEITEM;CODSEGURADORA;PK
DELTA;SEG_APOLICEITEM;CODSEGURADORA;
DELTA;SEG_APOLICEITEM;CODSEGURADORA;FK
DELTA;SEG_APOLICEITEM;CODSEGURADORA;FK
DELTA;SEG_APOLICEITEM;CODSEGURADORASAS;
DELTA;SEG_APOLICEITEM;CODUF;
DELTA;SEG_APOLICEITEM;DATCARGA;
DELTA;SEG_APOLICEITEM;DATEMISSAO;
DELTA;SEG_APOLICEITEM;DATEMISSAOENDOSSO;
DELTA;SEG_APOLICEITEM;DATEMISSAOFAROL;
DELTA;SEG_APOLICEITEM;DATEMISSAOVIDRO;
DELTA;SEG_APOLICEITEM;DATFIMORIGINAL;
DELTA;SEG_APOLICEITEM;DATFIMORIGINALFAROL;
DELTA;SEG_APOLICEITEM;DATFIMORIGINALLATARIA;
DELTA;SEG_APOLICEITEM;DATFIMORIGINALMAQUINA;
DELTA;SEG_APOLICEITEM;DATFIMORIGINALPARACHOQUE;
DELTA;SEG_APOLICEITEM;DATFIMORIGINALSRA;
DELTA;SEG_APOLICEITEM;DATFIMORIGINALTETOSOLAR;
DELTA;SEG_APOLICEITEM;DATFIMORIGINALUNDERCAR;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIA;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIAFAROL;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIALATARIA;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIAMAQUINA;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIAPARACHOQUE;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIASEGURADORA;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIASRA;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIATETOSOLAR;
DELTA;SEG_APOLICEITEM;DATFIMVIGENCIAUNDERCAR;
DELTA;SEG_APOLICEITEM;DATINICIOORIGINAL;
DELTA;SEG_APOLICEITEM;DATINICIOORIGINALFAROL;
DELTA;SEG_APOLICEITEM;DATINICIOORIGINALLATARIA;
DELTA;SEG_APOLICEITEM;DATINICIOORIGINALMAQUINA;
DELTA;SEG_APOLICEITEM;DATINICIOORIGINALPARACHOQUE;
DELTA;SEG_APOLICEITEM;DATINICIOORIGINALSRA;
DELTA;SEG_APOLICEITEM;DATINICIOORIGINALTETOSOLAR;
DELTA;SEG_APOLICEITEM;DATINICIOORIGINALUNDERCAR;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIA;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIAFAROL;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIALATARIA;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIAMAQUINA;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIAPARACHOQUE;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIASEGURADORA;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIASRA;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIATETOSOLAR;
DELTA;SEG_APOLICEITEM;DATINICIOVIGENCIAUNDERCAR;
DELTA;SEG_APOLICEITEM;DATULTIMAALTERACAO;
DELTA;SEG_APOLICEITEM;DSCCEP;
DELTA;SEG_APOLICEITEM;DSCCIDADE;
DELTA;SEG_APOLICEITEM;DSCCNPJ;
DELTA;SEG_APOLICEITEM;DSCNOMESOCIAL;
DELTA;SEG_APOLICEITEM;DSCPLACA;
DELTA;SEG_APOLICEITEM;DSCREGIAORISCO;
DELTA;SEG_APOLICEITEM;IDTBLINDADO;
DELTA;SEG_APOLICEITEM;IDTORIGEM;
DELTA;SEG_APOLICEITEM;IDTSTATUS;
DELTA;SEG_APOLICEITEM;NOMSEGURADO;
DELTA;SEG_APOLICEITEM;NUMANOFABRICACAO;
DELTA;SEG_APOLICEITEM;NUMANOMODELO;
DELTA;SEG_APOLICEITEM;NUMAPOLICE;
DELTA;SEG_APOLICEITEM;NUMAPOLICE;FK
DELTA;SEG_APOLICEITEM;NUMAPOLICE;PK
DELTA;SEG_APOLICEITEM;NUMCHASSIS;
DELTA;SEG_APOLICEITEM;NUMFINALCHASSIS;
DELTA;SEG_APOLICEITEM;VALFRANQUIA;
DELTA;SEG_APOLICEITEM;VALFRANQUIADEMAISPECAS;
DELTA;SEG_APOLICEITEM;VALFRANQUIAFAROL;
DELTA;SEG_APOLICEITEM;VALFRANQUIALATERAL;
DELTA;SEG_APOLICEITEM;VALFRANQUIAPCHOQUE;
DELTA;SEG_APOLICEITEM;VALFRANQUIAREPAROTETO;
DELTA;SEG_APOLICEITEM;VALFRANQUIARETROVISOR;
DELTA;SEG_APOLICEITEMAUXILIAR;ANOEMISSAOAPOLICE;
DELTA;SEG_APOLICEITEMAUXILIAR;CARROCERIA1;
DELTA;SEG_APOLICEITEMAUXILIAR;CARROCERIA2;
DELTA;SEG_APOLICEITEMAUXILIAR;CODAGRUPMODELO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCATEGORIA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCATEGORIAFRANQUIA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCATEGORIAPRESTADOR;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCLASSELOCALIZACAO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCLAUSULA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCOBERTURA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCONVENIO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCORRENTISTA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODCORRETOR;
DELTA;SEG_APOLICEITEMAUXILIAR;CODEMPRESA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODFILIALCORRETOR;
DELTA;SEG_APOLICEITEMAUXILIAR;CODFIPE;
DELTA;SEG_APOLICEITEMAUXILIAR;CODFLAGCADASTRO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODGRUPOPRODUTO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODIDENVISTORIA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODINSPETORIA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODITEM;PK
DELTA;SEG_APOLICEITEMAUXILIAR;CODITEM;
DELTA;SEG_APOLICEITEMAUXILIAR;CODITEM;FK
DELTA;SEG_APOLICEITEMAUXILIAR;CODITEMSEGURADORA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODLOCALSUCURSAL;
DELTA;SEG_APOLICEITEMAUXILIAR;CODMARCAAUTO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODMODALIDADE;
DELTA;SEG_APOLICEITEMAUXILIAR;CODMODELO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODPLANO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODPOLIZA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODPRODUTO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODRAMO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODREGIAO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODREGIAOCIRCULACAO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODSEGMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODSEGURADORA;FK
DELTA;SEG_APOLICEITEMAUXILIAR;CODSEGURADORA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODSEGURADORA;PK
DELTA;SEG_APOLICEITEMAUXILIAR;CODSEGURADORASUSEP;
DELTA;SEG_APOLICEITEMAUXILIAR;CODSERVICO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODSICRED;
DELTA;SEG_APOLICEITEMAUXILIAR;CODSUBPRODUTO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODSUCURSAL;
DELTA;SEG_APOLICEITEMAUXILIAR;CODTARIFA;
DELTA;SEG_APOLICEITEMAUXILIAR;CODTIPOAUTO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODTIPOENDOSSO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODTIPOVIDRO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODUFPERNOITE;
DELTA;SEG_APOLICEITEMAUXILIAR;CODUFREGIAO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODVEICULO;
DELTA;SEG_APOLICEITEMAUXILIAR;CODVEICULOFIPE;
DELTA;SEG_APOLICEITEMAUXILIAR;CODVERSAO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATADITAMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATAGENDAMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATARQUIVO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATCANCELAMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATINICIOASSISTENCIA;
DELTA;SEG_APOLICEITEMAUXILIAR;DATLIGACAO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATMOVEMISSAO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATNASCIMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATPARAMFIM;
DELTA;SEG_APOLICEITEMAUXILIAR;DATPARAMINI;
DELTA;SEG_APOLICEITEMAUXILIAR;DATPROCESSAMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATREFERENCIACIA;
DELTA;SEG_APOLICEITEMAUXILIAR;DATREFUGO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATREQUISICAO;
DELTA;SEG_APOLICEITEMAUXILIAR;DATTABELAVENDAS;
DELTA;SEG_APOLICEITEMAUXILIAR;DATTARIFA;
DELTA;SEG_APOLICEITEMAUXILIAR;DATVIGENCIAENDOSSO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCBAIRRO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCBAIRROPERNOITE;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCATEGORIA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCATEGORIASUSEP;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCATEGORIAVEIC;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCEP;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCEPPERNOITE;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCEPRISCO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCIDADEPERNOITE;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCLASSELOCALIZACAO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCLASSIFICACAO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCLAUSULA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCNPJ;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCOBERTURA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCOMBUSTIVEL;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCOMPLEMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCONTRATOVIDRO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCONVENIO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCOR;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCORRENTISTA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCORRETOR;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCCPFCNPJPROPONENTE;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCEMAIL;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCEMAILCORRETOR;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCEMPEMAILRASTREADOR;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCEMPRASTREADOR;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCENDERECOPERNOITE;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCESCRITORIO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCESTADOITEM2;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCFABRICANTE;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCFILIALCORRETOR;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCFINALIDADEUSO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCGRUPOVIDRO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCLINHA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCLOCALSUCURSAL;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCLOGRADOURO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCMODELEXT;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCMODELO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCNOMECORRETORA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCNUMERO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCPRESTADORA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCPRESTADORAVIDRO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCPRODUTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCRASTREADOR;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCSEGMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCSUCURSAL;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCTELEFONECONTATO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCTIPOAUTO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCTIPOCARGA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCTIPOENDOSSO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCTIPOPINTURA;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCUTILIZACAOVEICULO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCVEICULO;
DELTA;SEG_APOLICEITEMAUXILIAR;DSCVISTORIA;
DELTA;SEG_APOLICEITEMAUXILIAR;EQUIPAMENTOS;
DELTA;SEG_APOLICEITEMAUXILIAR;FONTEEMISSAO;
DELTA;SEG_APOLICEITEMAUXILIAR;GERENCRISCO1;
DELTA;SEG_APOLICEITEMAUXILIAR;GERENCRISCO2;
DELTA;SEG_APOLICEITEMAUXILIAR;GRUPOREGIAO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDREQUISICAO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTANOUSO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTAPOLICEFROTA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTAPOLICENDOSSO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTBLINDADOCASCO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTCARROIMPORTADO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTCARRORESERVA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTCOBERTURA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTCOBERTURACASCO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTCOBERTURARAF;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTCONTRATACAO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTFAROLLANTERNA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTFROTA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTLIVREESCOLHA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTLOGOMARCA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTMESAMES;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTMOTIVOEXCLUSAO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTMOVIMENTO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTPARABRISA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTPROPOSTA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTREALPAC;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTRENOVACAO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTREPAROVIDRO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTRETROVISOR;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTSEGURADODIFERENCIADO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTSEXO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTSTATUSCLIENTE;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTTIPOPESSOA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTUTILIZATRABALHO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTVEICULOBLINDADO;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTVIDROSLATVIGIA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTVISTORIA;
DELTA;SEG_APOLICEITEMAUXILIAR;IDTZEROKM;
DELTA;SEG_APOLICEITEMAUXILIAR;LOTE;
DELTA;SEG_APOLICEITEMAUXILIAR;NOMCONTATO;
DELTA;SEG_APOLICEITEMAUXILIAR;NOMPROPONENTE;
